epoch,train_loss,val_mae,lr
1,0.16693426282810314,137.83923,0.0005
2,0.07710632934634175,116.59978,0.0005
3,0.06854757380538753,117.725815,0.0005
4,0.06587685478319015,118.49953,0.0005
5,0.062334004789590836,113.2878,0.0005
6,0.05801442132464477,109.584656,0.0005
7,0.055338531865605285,109.779564,0.0005
8,0.05462459834026439,114.27872,0.0005
9,0.051065937882023196,111.132835,0.0005
10,0.04914080597726362,109.471466,0.0005
11,0.04775182729853051,108.097404,0.0005
12,0.04461925084303532,106.801865,0.0005
13,0.044457374539758475,101.378204,0.0005
14,0.04514233634940216,105.26023,0.0005
15,0.04203130371336426,100.453064,0.0005
16,0.04083821360420968,98.32879,0.0005
17,0.04049197115403201,98.84247,0.0005
18,0.03905558519597564,99.713936,0.0005
19,0.03892497302565191,96.06455,0.0005
20,0.03830724595380681,96.88815,0.0005
21,0.03555110033734569,95.654884,0.0005
22,0.0347009865300996,92.92173,0.0005
23,0.03455814832289304,97.05418,0.0005
24,0.0349766643651362,99.69679,0.0005
25,0.03417344803788832,93.149185,0.0005
26,0.03264960217555719,99.086845,0.0005
27,0.031665694866595526,101.338264,0.0005
28,0.031676744510020526,89.50565,0.0005
29,0.031385118840262294,92.64833,0.0005
30,0.030822635761329105,91.53848,0.0005
31,0.03026546015670257,105.821655,0.0005
32,0.029484997503459454,88.28536,0.0005
33,0.027640763204544783,95.06064,0.0005
34,0.027102697108473097,92.12072,0.0005
35,0.028646682189511403,92.153534,0.0005
36,0.026443816255778074,89.21043,0.0005
37,0.02478454195495163,93.67757,0.0005
38,0.02577354253402778,87.27926,0.0005
39,0.024440601534609283,87.53897,0.0005
40,0.02608788961411587,96.14684,0.0005
41,0.0230151757132262,91.97213,0.0005
42,0.02252050595624106,84.01042,0.0005
43,0.021944685706070492,83.96002,0.0005
44,0.02569887650731419,91.989044,0.0005
45,0.021425295055710843,80.31241,0.0005
46,0.022135134985936538,81.44244,0.0005
47,0.021555355350886072,81.39879,0.0005
48,0.019908523120518242,79.34435,0.0005
49,0.020044560012008463,79.75416,0.0005
50,0.01999137251238738,76.51958,0.0005
51,0.020274159431989704,75.330986,0.0005
52,0.018621686413618072,75.997536,0.0005
53,0.018928214658184776,79.96301,0.0005
54,0.018650142110085914,73.72117,0.0005
55,0.017559820104257336,75.559814,0.0005
56,0.01839946863973247,77.75372,0.0005
57,0.017031734393510436,71.41249,0.0005
58,0.01808468096091279,76.86893,0.0005
59,0.018943623872473836,73.33151,0.0005
60,0.015865131015224115,77.492805,0.0005
61,0.015619662557063358,74.78754,0.0005
62,0.016336049402265677,71.14171,0.0005
63,0.015964736247302165,73.00031,0.0005
64,0.015349614550359547,81.55206,0.0005
65,0.016423839343977824,77.25667,0.0005
66,0.01472264265508524,78.037254,0.0005
67,0.014879805385135114,76.5413,0.0005
68,0.015125181476053382,78.07337,0.00025
69,0.014078852238266595,74.57501,0.00025
70,0.012460484984330833,73.18251,0.00025
71,0.012287679477594793,71.51387,0.00025
72,0.012457441039649504,72.63379,0.00025
73,0.012044060310082776,72.01703,0.00025
74,0.011573052549335574,69.96814,0.00025
75,0.01140912969796253,70.23772,0.00025
76,0.0116495240945369,75.29545,0.00025
77,0.011758575332351029,72.33833,0.00025
78,0.01131572128672685,68.93715,0.00025
