epoch,train_loss,val_mae,lr
1,0.23954053622271335,0.3789253,0.0005
2,0.10216814279556274,0.3510377,0.0005
3,0.07966206741652318,0.33721855,0.0005
4,0.07038915210536548,0.3246042,0.0005
5,0.06632725315700684,0.32111675,0.0005
6,0.05808192870712706,0.27954987,0.0005
7,0.0512119485065341,0.26170284,0.0005
8,0.04460067993828228,0.21781304,0.0005
9,0.039320047678692,0.20265903,0.0005
10,0.035943889691095264,0.19556203,0.0005
11,0.03367383033037186,0.20798461,0.0005
12,0.03187347253385399,0.17832337,0.0005
13,0.03584664917018797,0.19296813,0.0005
14,0.034763651001932364,0.19245026,0.0005
15,0.02863047195465437,0.14741936,0.0005
16,0.027230801592980112,0.14128362,0.0005
17,0.025015992677903602,0.12361603,0.0005
18,0.025092548025505885,0.11142455,0.0005
19,0.022176401057679738,0.11697181,0.0005
20,0.02223302234363343,0.10620962,0.0005
21,0.020264122768172195,0.09211118,0.0005
22,0.02064854698255658,0.08179308,0.0005
23,0.021328987520454184,0.09270888,0.0005
24,0.01863330406402903,0.0986113,0.0005
25,0.019175859916556095,0.10653982,0.0005
26,0.017584071378223598,0.08895843,0.0005
27,0.017805629925403212,0.08094325,0.0005
28,0.017820973830696727,0.09304679,0.0005
29,0.017268806945399513,0.07215509,0.0005
30,0.016910970244290575,0.08204459,0.0005
31,0.016637979025420333,0.077478215,0.0005
32,0.017349075991660357,0.08310173,0.0005
33,0.01541345742797213,0.07514369,0.0005
34,0.01495182276370802,0.05878563,0.0005
35,0.0149705810971292,0.07985223,0.0005
36,0.01618567864144487,0.07700715,0.0005
37,0.013908941331984741,0.060064092,0.0005
38,0.014157426294072397,0.06291605,0.0005
39,0.014082599215076439,0.06366965,0.0005
40,0.013831377561603273,0.06516314,0.00025
41,0.011759587896189519,0.06255028,0.00025
42,0.01095330437445747,0.059522506,0.00025
43,0.010542289753045355,0.07016858,0.00025
44,0.011008982047704714,0.06030697,0.00025
45,0.010959433557997857,0.053744473,0.00025
46,0.011053878431474524,0.057074934,0.00025
47,0.010775437628451203,0.056166857,0.00025
48,0.01068870407263083,0.06555271,0.00025
49,0.011351263732649386,0.05886495,0.00025
50,0.010338683047198824,0.06199132,0.00025
51,0.011182645818085543,0.06423498,0.000125
52,0.009667321324481495,0.056594923,0.000125
53,0.009268169066802199,0.05235497,0.000125
54,0.009159966430161148,0.04975491,0.000125
55,0.009355855623393186,0.057278823,0.000125
56,0.00912020553369075,0.060007043,0.000125
57,0.0090795249644933,0.06554418,0.000125
58,0.00928160099179617,0.05534244,0.000125
59,0.008959229786082037,0.05558315,0.000125
60,0.00906368568705927,0.054176524,6.25e-05
61,0.008366162622613567,0.052371074,6.25e-05
62,0.00836512666761077,0.05303995,6.25e-05
63,0.00826774410338008,0.051507898,6.25e-05
64,0.00843761584422152,0.052897118,6.25e-05
65,0.008465429318935744,0.05051696,6.25e-05
66,0.008273962984925934,0.04995967,3.125e-05
67,0.008105147929329957,0.051814422,3.125e-05
68,0.008115684854731495,0.052684814,3.125e-05
69,0.008070543300293918,0.05004318,3.125e-05
70,0.007936427985051913,0.05232457,3.125e-05
71,0.00811537359342245,0.052052032,3.125e-05
72,0.007970913213544659,0.052970774,1.5625e-05
73,0.007857552421877958,0.051421676,1.5625e-05
74,0.007878690916446171,0.051351894,1.5625e-05
