epoch,train_loss,val_mae,lr
1,0.22086823066430433,0.3597039,0.0005
2,0.09630304681403297,0.32789925,0.0005
3,0.07965831072734934,0.32516128,0.0005
4,0.0708680756922279,0.32286873,0.0005
5,0.06035833227049027,0.2932218,0.0005
6,0.0529497005045414,0.2641358,0.0005
7,0.043661970645189285,0.22906826,0.0005
8,0.037249562297282476,0.21042058,0.0005
9,0.03521462509940777,0.20634948,0.0005
10,0.03176046585265015,0.19974765,0.0005
11,0.0317389452829957,0.16022469,0.0005
12,0.02719547739252448,0.14729924,0.0005
13,0.025753050510372435,0.13521124,0.0005
14,0.024408983565600856,0.13226512,0.0005
15,0.023452889107699906,0.12040457,0.0005
16,0.021863819199747274,0.105107,0.0005
17,0.020807575467707857,0.0971117,0.0005
18,0.02026112743520311,0.08868716,0.0005
19,0.018334735484261597,0.09836272,0.0005
20,0.017706422002187798,0.09220565,0.0005
21,0.018412052337745472,0.09447949,0.0005
22,0.01718980408207114,0.08644261,0.0005
23,0.017067169487875487,0.08334312,0.0005
24,0.017636766540817916,0.08561388,0.0005
25,0.01626432573954974,0.08986533,0.0005
26,0.016387876156451448,0.09815999,0.0005
27,0.01724353640539838,0.08089589,0.0005
28,0.01723975397180766,0.09321181,0.0005
29,0.01594245896142508,0.09930419,0.0005
30,0.016604298542785858,0.070571706,0.0005
31,0.01459501903238041,0.06799765,0.0005
32,0.01607241029185908,0.09116445,0.0005
33,0.015332200630967106,0.1003626,0.0005
34,0.01494779106828251,0.079229176,0.0005
35,0.014273124680455242,0.07544281,0.0005
36,0.013912146595040602,0.072810166,0.0005
37,0.013182163937017322,0.07896912,0.00025
38,0.011647967521899514,0.068149574,0.00025
39,0.011369983865214246,0.060281157,0.00025
40,0.011992034951357968,0.07456632,0.00025
41,0.012724468035490386,0.07429181,0.00025
42,0.011629420798271894,0.07510937,0.00025
43,0.011568493941532714,0.06432796,0.00025
44,0.01121057676417487,0.07013903,0.00025
45,0.011172883927689068,0.06604037,0.000125
46,0.010224720380002899,0.061466392,0.000125
47,0.010208158371304827,0.05979932,0.000125
48,0.009859174589759536,0.062337633,0.000125
49,0.010282696707041137,0.062698,0.000125
50,0.01021894097461232,0.062419046,0.000125
51,0.0100958663138694,0.060389888,0.000125
52,0.010006945763182427,0.060419057,0.000125
53,0.009809309616684914,0.061112966,6.25e-05
54,0.00956302066333592,0.057713103,6.25e-05
55,0.009630593936890364,0.05997988,6.25e-05
56,0.009363358715615635,0.058931615,6.25e-05
57,0.009463373488480491,0.057465658,6.25e-05
58,0.009456888223732156,0.06126756,6.25e-05
59,0.009149463888856449,0.05595652,6.25e-05
60,0.009194111052368368,0.05982381,6.25e-05
61,0.009384486208935934,0.059356138,6.25e-05
62,0.009163034630806319,0.062327534,6.25e-05
63,0.009106680983677506,0.05383191,6.25e-05
64,0.009393616072234831,0.060242143,6.25e-05
65,0.009288311320623117,0.05981366,6.25e-05
66,0.0090357673554016,0.05810818,6.25e-05
67,0.009210882791584092,0.05952349,6.25e-05
68,0.00906735789197098,0.065201275,6.25e-05
69,0.009034512165401663,0.055270445,3.125e-05
70,0.008782922706034566,0.054055084,3.125e-05
71,0.008782377624551632,0.062516466,3.125e-05
72,0.00879804348473304,0.058445364,3.125e-05
73,0.008856088480180395,0.060480896,3.125e-05
74,0.008773895296534258,0.056416772,3.125e-05
75,0.008806051096014147,0.05694586,1.5625e-05
76,0.008691951033792325,0.059202176,1.5625e-05
77,0.00859772615201239,0.0564114,1.5625e-05
78,0.00863815177165504,0.055514816,1.5625e-05
79,0.008563125497728055,0.055105522,1.5625e-05
80,0.008524754741561733,0.0585947,1.5625e-05
81,0.008536093610538436,0.055385966,7.8125e-06
82,0.008491746000280338,0.05499778,7.8125e-06
83,0.008472863543179951,0.0559658,7.8125e-06
