epoch,train_loss,val_mae,lr
1,0.23027659490190702,136.15628,0.0005
2,0.09677738799103375,127.16566,0.0005
3,0.08232811363092785,121.55046,0.0005
4,0.07066621066167436,114.18951,0.0005
5,0.06470929176129143,121.922585,0.0005
6,0.061379148400035395,112.93464,0.0005
7,0.05758554019547742,125.9072,0.0005
8,0.053651990047816574,113.63707,0.0005
9,0.053302001978816654,115.39813,0.0005
10,0.0503450102847198,113.38843,0.0005
11,0.04945895088643863,122.70024,0.0005
12,0.049778634618068564,116.11497,0.00025
13,0.04462834980724187,115.49644,0.00025
14,0.0446143483036551,118.121506,0.00025
15,0.04495108891920797,110.85565,0.00025
16,0.04236255203983907,114.091644,0.00025
17,0.040582491855682995,111.17237,0.00025
18,0.04067301319847847,109.28182,0.00025
19,0.04022806410774075,103.07011,0.00025
20,0.040413203874024854,105.676414,0.00025
21,0.03804994143288711,111.913345,0.00025
22,0.036789056588092756,110.9502,0.00025
23,0.03741976188431526,99.54709,0.00025
24,0.034871656672451005,104.33802,0.00025
25,0.03660421343199138,104.33533,0.00025
26,0.033410149947579564,98.951126,0.00025
27,0.034147560403778636,94.837265,0.00025
28,0.03223589191149021,92.02022,0.00025
29,0.03153716904464467,101.05851,0.00025
30,0.030803629839471703,98.118744,0.00025
31,0.0315888946040951,92.97615,0.00025
32,0.030797959433804298,91.67315,0.00025
33,0.029893116961265433,87.53618,0.00025
34,0.02972324603590472,90.2399,0.00025
35,0.030079460317461656,94.85063,0.00025
36,0.02932876300323626,78.93396,0.00025
37,0.027839650464212072,80.9496,0.00025
38,0.02807367779314518,82.109924,0.00025
39,0.026659428302584023,78.1222,0.00025
40,0.026378945094244235,78.69752,0.00025
41,0.025953356080271047,76.88438,0.00025
42,0.02704259358218004,79.85176,0.00025
43,0.025734111313419097,80.33286,0.00025
44,0.025690350007137347,72.29322,0.00025
45,0.025247359230857472,85.12073,0.00025
46,0.024048870108250915,78.917206,0.00025
47,0.024325343234271837,77.90651,0.00025
48,0.024047961041074376,73.04826,0.00025
49,0.025154050150565033,69.43463,0.00025
50,0.023613412414902245,71.30758,0.00025
51,0.02273940323884117,73.159355,0.00025
52,0.022350462860074537,75.51564,0.00025
53,0.022984169905298744,67.431,0.00025
54,0.02120997432362417,73.48656,0.00025
55,0.021176072190804727,78.924034,0.00025
56,0.020456779619743085,69.38638,0.00025
57,0.019991873827730787,70.972206,0.00025
58,0.02085445986675291,66.88145,0.00025
59,0.01962823457694773,59.20462,0.00025
60,0.019457089746820515,67.32157,0.00025
61,0.019881139798411007,61.298428,0.00025
62,0.01972516451095199,58.835724,0.00025
63,0.019645608399577182,61.087627,0.00025
64,0.018724658622823912,65.441895,0.00025
65,0.018007145022395355,69.55373,0.00025
66,0.01801604682836553,66.797195,0.00025
67,0.01862301544189967,68.61952,0.00025
68,0.018230231350352025,65.097626,0.000125
69,0.016350724348991083,62.18135,0.000125
70,0.01612327018238861,55.82229,0.000125
71,0.01576614359008341,67.26579,0.000125
72,0.01616658157958039,60.223503,0.000125
73,0.015574701339134881,63.78579,0.000125
74,0.015312317839085028,64.62574,0.000125
75,0.016213993718526488,61.827267,0.000125
76,0.015183936483387289,64.39586,6.25e-05
77,0.014422665928201428,61.3618,6.25e-05
78,0.013842808949793207,63.945908,6.25e-05
79,0.013890132982412288,57.700954,6.25e-05
80,0.013930262050366607,61.694965,6.25e-05
81,0.013715504540194726,63.71123,6.25e-05
82,0.013576598805857116,61.38271,3.125e-05
83,0.013588783459673667,60.425053,3.125e-05
84,0.013089374992354163,61.459583,3.125e-05
85,0.01334894581794225,60.11573,3.125e-05
86,0.013299751448734054,60.108253,3.125e-05
87,0.01293423545450486,59.83153,3.125e-05
88,0.01320101702906962,58.890102,1.5625e-05
89,0.013172198648982007,59.969555,1.5625e-05
90,0.012819025312261334,60.525658,1.5625e-05
