epoch,train_loss,val_mae,lr
1,0.18470063925321614,0.36601308,0.0005
2,0.0821560752977218,0.31239864,0.0005
3,0.06914635075788413,0.3015959,0.0005
4,0.06172940208177481,0.27688184,0.0005
5,0.05291485573564257,0.26398066,0.0005
6,0.05033956055662462,0.2529942,0.0005
7,0.045810185106737275,0.23163088,0.0005
8,0.042291664984077215,0.2137346,0.0005
9,0.038169121802119274,0.18464679,0.0005
10,0.03431230035078313,0.20797876,0.0005
11,0.03049700178339013,0.19557941,0.0005
12,0.028276525903493166,0.18018878,0.0005
13,0.02754095722255962,0.18553264,0.0005
14,0.023221024611432637,0.12671766,0.0005
15,0.024188070025827204,0.12216442,0.0005
16,0.021583419991657138,0.12679642,0.0005
17,0.02152116470304983,0.10566844,0.0005
18,0.020092849785994207,0.11561527,0.0005
19,0.0209305586759001,0.11628801,0.0005
20,0.019358194616091038,0.14110303,0.0005
21,0.01962870213070086,0.11353753,0.0005
22,0.018005465722775886,0.10794895,0.0005
23,0.017476259348248795,0.121403046,0.00025
24,0.014989040442742407,0.095161036,0.00025
25,0.013919921342416533,0.09062816,0.00025
26,0.013953286805190146,0.091297045,0.00025
27,0.013450922394570495,0.09600256,0.00025
28,0.012918456174832369,0.08527943,0.00025
29,0.012802874436601996,0.09178921,0.00025
30,0.012909391479167556,0.08895029,0.00025
31,0.0122214246241908,0.0718201,0.00025
32,0.012743964541836508,0.08576911,0.00025
33,0.012489264398547155,0.07471762,0.00025
34,0.012357078974933497,0.0870703,0.00025
35,0.01294163429910051,0.07592455,0.00025
36,0.012782078386018319,0.081042536,0.00025
37,0.011223102038327073,0.081920065,0.000125
38,0.010212270177102514,0.088219546,0.000125
39,0.010291969702978219,0.082120925,0.000125
40,0.010068163442026292,0.087514,0.000125
41,0.00986629890810166,0.08420222,0.000125
42,0.009909578366205096,0.07985438,0.000125
43,0.009990253918138998,0.07454579,6.25e-05
44,0.009435823037555175,0.08706293,6.25e-05
45,0.009487686936543989,0.08005896,6.25e-05
46,0.009161338709028704,0.08116891,6.25e-05
47,0.009526789105231208,0.08528025,6.25e-05
48,0.009242359573753285,0.08258734,6.25e-05
49,0.009138174920475908,0.081891865,3.125e-05
50,0.008811762514856778,0.085483,3.125e-05
51,0.0090272171156747,0.08242436,3.125e-05
