epoch,train_loss,val_mae,lr
1,0.11689753883651324,0.3365591,0.0005
2,0.06909959483891726,0.3129422,0.0005
3,0.05942843056150845,0.3166042,0.0005
4,0.05607250738622887,0.3108407,0.0005
5,0.049117802908377986,0.27660254,0.0005
6,0.04537002908598099,0.24931034,0.0005
7,0.042332456181091924,0.25366935,0.0005
8,0.03799838685829725,0.22211479,0.0005
9,0.03409975634089538,0.18658945,0.0005
10,0.030890586353572353,0.1639489,0.0005
11,0.029595162020996213,0.15856774,0.0005
12,0.026190562672646984,0.13006258,0.0005
13,0.02386388272446181,0.1279037,0.0005
14,0.024390512678240026,0.14436387,0.0005
15,0.020627919950389435,0.17179993,0.0005
16,0.018553318206353912,0.11776882,0.0005
17,0.017467344678672298,0.12089009,0.0005
18,0.01581109203730843,0.11057303,0.0005
19,0.016384376196323762,0.121291555,0.0005
20,0.016518239996262958,0.104197785,0.0005
21,0.014275277881616992,0.11618637,0.0005
22,0.015410142235590943,0.11385463,0.0005
23,0.013753735576756299,0.10728528,0.0005
24,0.014632796785528106,0.11455891,0.0005
25,0.013442576230902756,0.11524033,0.0005
26,0.013040560497237104,0.09173957,0.0005
27,0.013210053904913366,0.1094203,0.0005
28,0.01314227863414479,0.10217246,0.0005
29,0.014375883653493864,0.109976575,0.0005
30,0.012428032400618707,0.09782113,0.0005
31,0.01172104213453297,0.09081298,0.0005
32,0.012137570035909968,0.09908901,0.0005
33,0.012169244133734278,0.10557204,0.0005
34,0.011488885568854,0.08827842,0.0005
35,0.010764130873472564,0.096134186,0.0005
36,0.01099362874603165,0.10045189,0.0005
37,0.012987010214211685,0.096907295,0.0005
38,0.011205870392067092,0.09704836,0.0005
39,0.011198078132500606,0.106852844,0.0005
40,0.0099909702216142,0.10711009,0.00025
41,0.009389590480298336,0.086425096,0.00025
42,0.008899688695756984,0.099396825,0.00025
43,0.008553816903648632,0.086305596,0.00025
44,0.00839445907955191,0.087503284,0.00025
45,0.008188279071224056,0.08717512,0.00025
46,0.00844766861493034,0.08498744,0.00025
47,0.00816769282599645,0.09583303,0.00025
48,0.008321689433484738,0.08788039,0.00025
49,0.008120251927591329,0.08539068,0.00025
50,0.008072584069200925,0.08064141,0.00025
51,0.007878238285359527,0.08788368,0.00025
52,0.007481104187068662,0.082237415,0.00025
53,0.007997358334250748,0.08436961,0.00025
54,0.00789164419152907,0.086173855,0.00025
55,0.007681623483741922,0.08690748,0.00025
56,0.007999788645455348,0.08848663,0.000125
57,0.0070919395657256246,0.09353952,0.000125
58,0.007009291223117283,0.084080994,0.000125
59,0.006938245421874204,0.08779646,0.000125
60,0.007104137978915658,0.09645385,0.000125
61,0.006791621047471251,0.08409308,0.000125
62,0.007000393816269934,0.08417408,6.25e-05
63,0.006719587004876563,0.08791658,6.25e-05
64,0.006415438514003264,0.084907144,6.25e-05
65,0.0063729217758269185,0.087192744,6.25e-05
66,0.006288573104289493,0.08902412,6.25e-05
67,0.006292386662348041,0.08496227,6.25e-05
68,0.006392229514728699,0.08303832,3.125e-05
69,0.006145895167719573,0.08340489,3.125e-05
70,0.006217213696800172,0.08819387,3.125e-05
